englishTerm,koreanTerm,explanation
Oliguria,요감소,1) 수분섭취량에 비해서 요(尿)배설량이 감소한 것. 2) 1일의 요량이 정상에 비해서 현저하게 감소한 상태이다. 요량은 1일 300-350㎖이하가 되며, 요의 생성이 적고, 요량이 감소한 상태로, 방광 등의 요로에 통과장애가 없는 것을 말한다. 원인으로서는 수분섭취량 감소, 구토, 설사, 고도의 발한에 의한 수분상실, 쇼크, 출혈에 의한 신혈류량 저하, 신증, 사구체신염 등 고도로 신기능이 장애된 경우 등을 들 수 있다.[간호학대사전] 3) 오줌의 양이 생리적 증감의 범위를 넘어서 현저하게 감소된 경우. 건강한 성인의 하루 오줌의 양은 대체로 남자 1,500mL, 여자 1,200ml이고 수분 섭취량-땀남 등에 의하여 생리적 증감이 있다. 보통 500mL 이하 경우를 소변감소증이라고 하고 200mL 이하 경우는 무뇨증이라고 한다. 콩팥염-승홍중독-부적합 수혈 등에 의한 콩팥기능장애와 돌-종양-협착 등에 의한 양쪽 요관의 통과장애일 때 볼 수 있다. 그 밖에 심한 구토-설사-외상성 쇼크 등 비뇨기계 이외의 원인으로도 일어난다. 소변감소증이 오래 게속되면 위험하므로 원인을 찾아서 그에 따른 치료를 해야 한다.[알기쉬운 의학용어풀이집]
Oliguria,감뇨증,1) 수분섭취량에 비해서 요(尿)배설량이 감소한 것. 2) 1일의 요량이 정상에 비해서 현저하게 감소한 상태이다. 요량은 1일 300-350㎖이하가 되며, 요의 생성이 적고, 요량이 감소한 상태로, 방광 등의 요로에 통과장애가 없는 것을 말한다. 원인으로서는 수분섭취량 감소, 구토, 설사, 고도의 발한에 의한 수분상실, 쇼크, 출혈에 의한 신혈류량 저하, 신증, 사구체신염 등 고도로 신기능이 장애된 경우 등을 들 수 있다.[간호학대사전] 3) 오줌의 양이 생리적 증감의 범위를 넘어서 현저하게 감소된 경우. 건강한 성인의 하루 오줌의 양은 대체로 남자 1,500mL, 여자 1,200ml이고 수분 섭취량-땀남 등에 의하여 생리적 증감이 있다. 보통 500mL 이하 경우를 소변감소증이라고 하고 200mL 이하 경우는 무뇨증이라고 한다. 콩팥염-승홍중독-부적합 수혈 등에 의한 콩팥기능장애와 돌-종양-협착 등에 의한 양쪽 요관의 통과장애일 때 볼 수 있다. 그 밖에 심한 구토-설사-외상성 쇼크 등 비뇨기계 이외의 원인으로도 일어난다. 소변감소증이 오래 게속되면 위험하므로 원인을 찾아서 그에 따른 치료를 해야 한다.[알기쉬운 의학용어풀이집]
Oliguria,소변감소,1) 수분섭취량에 비해서 요(尿)배설량이 감소한 것. 2) 1일의 요량이 정상에 비해서 현저하게 감소한 상태이다. 요량은 1일 300-350㎖이하가 되며, 요의 생성이 적고, 요량이 감소한 상태로, 방광 등의 요로에 통과장애가 없는 것을 말한다. 원인으로서는 수분섭취량 감소, 구토, 설사, 고도의 발한에 의한 수분상실, 쇼크, 출혈에 의한 신혈류량 저하, 신증, 사구체신염 등 고도로 신기능이 장애된 경우 등을 들 수 있다.[간호학대사전] 3) 오줌의 양이 생리적 증감의 범위를 넘어서 현저하게 감소된 경우. 건강한 성인의 하루 오줌의 양은 대체로 남자 1,500mL, 여자 1,200ml이고 수분 섭취량-땀남 등에 의하여 생리적 증감이 있다. 보통 500mL 이하 경우를 소변감소증이라고 하고 200mL 이하 경우는 무뇨증이라고 한다. 콩팥염-승홍중독-부적합 수혈 등에 의한 콩팥기능장애와 돌-종양-협착 등에 의한 양쪽 요관의 통과장애일 때 볼 수 있다. 그 밖에 심한 구토-설사-외상성 쇼크 등 비뇨기계 이외의 원인으로도 일어난다. 소변감소증이 오래 게속되면 위험하므로 원인을 찾아서 그에 따른 치료를 해야 한다.[알기쉬운 의학용어풀이집]
Oliguria,소변감소증,1) 수분섭취량에 비해서 요(尿)배설량이 감소한 것. 2) 1일의 요량이 정상에 비해서 현저하게 감소한 상태이다. 요량은 1일 300-350㎖이하가 되며, 요의 생성이 적고, 요량이 감소한 상태로, 방광 등의 요로에 통과장애가 없는 것을 말한다. 원인으로서는 수분섭취량 감소, 구토, 설사, 고도의 발한에 의한 수분상실, 쇼크, 출혈에 의한 신혈류량 저하, 신증, 사구체신염 등 고도로 신기능이 장애된 경우 등을 들 수 있다.[간호학대사전] 3) 오줌의 양이 생리적 증감의 범위를 넘어서 현저하게 감소된 경우. 건강한 성인의 하루 오줌의 양은 대체로 남자 1,500mL, 여자 1,200ml이고 수분 섭취량-땀남 등에 의하여 생리적 증감이 있다. 보통 500mL 이하 경우를 소변감소증이라고 하고 200mL 이하 경우는 무뇨증이라고 한다. 콩팥염-승홍중독-부적합 수혈 등에 의한 콩팥기능장애와 돌-종양-협착 등에 의한 양쪽 요관의 통과장애일 때 볼 수 있다. 그 밖에 심한 구토-설사-외상성 쇼크 등 비뇨기계 이외의 원인으로도 일어난다. 소변감소증이 오래 게속되면 위험하므로 원인을 찾아서 그에 따른 치료를 해야 한다.[알기쉬운 의학용어풀이집]
Oliguria,핍뇨,1) 수분섭취량에 비해서 요(尿)배설량이 감소한 것. 2) 1일의 요량이 정상에 비해서 현저하게 감소한 상태이다. 요량은 1일 300-350㎖이하가 되며, 요의 생성이 적고, 요량이 감소한 상태로, 방광 등의 요로에 통과장애가 없는 것을 말한다. 원인으로서는 수분섭취량 감소, 구토, 설사, 고도의 발한에 의한 수분상실, 쇼크, 출혈에 의한 신혈류량 저하, 신증, 사구체신염 등 고도로 신기능이 장애된 경우 등을 들 수 있다.[간호학대사전] 3) 오줌의 양이 생리적 증감의 범위를 넘어서 현저하게 감소된 경우. 건강한 성인의 하루 오줌의 양은 대체로 남자 1,500mL, 여자 1,200ml이고 수분 섭취량-땀남 등에 의하여 생리적 증감이 있다. 보통 500mL 이하 경우를 소변감소증이라고 하고 200mL 이하 경우는 무뇨증이라고 한다. 콩팥염-승홍중독-부적합 수혈 등에 의한 콩팥기능장애와 돌-종양-협착 등에 의한 양쪽 요관의 통과장애일 때 볼 수 있다. 그 밖에 심한 구토-설사-외상성 쇼크 등 비뇨기계 이외의 원인으로도 일어난다. 소변감소증이 오래 게속되면 위험하므로 원인을 찾아서 그에 따른 치료를 해야 한다.[알기쉬운 의학용어풀이집]
Omphalocele,배꼽내장탈장,흑인, 여아, 미숙아 및 갑상선기능저하증에서 가장 많이 볼 수 있으며 대개 생후 6개월 전에 나타나서 1세경 없어진다. 아기가 울 때나 기침할 때, 힘쓸 때 탈장 부위가 튀어나오지만, 다시 섬유 제륜 속으로 집어 넣을 수 있다. 탈장 부위 안으로 장망이나 소장이 밀려들어갈 수 있으나 장감돈은 드물다. 배꼽 헤르니아는 크기가 5~6cm로 큰 것도 대개 5~6세경 저절로 막히는 경우가 많으므로, 외과적 수술을 필요로 하는 경우는 드물다. 외과적 수술은 장감돈이 되거나 1~2세경에도 계속 커질 때 시행하며, 테이프로 붙여 두는 것은 의미가 없다.[두산백과]
Omphalocele,선천복벽탈장,흑인, 여아, 미숙아 및 갑상선기능저하증에서 가장 많이 볼 수 있으며 대개 생후 6개월 전에 나타나서 1세경 없어진다. 아기가 울 때나 기침할 때, 힘쓸 때 탈장 부위가 튀어나오지만, 다시 섬유 제륜 속으로 집어 넣을 수 있다. 탈장 부위 안으로 장망이나 소장이 밀려들어갈 수 있으나 장감돈은 드물다. 배꼽 헤르니아는 크기가 5~6cm로 큰 것도 대개 5~6세경 저절로 막히는 경우가 많으므로, 외과적 수술을 필요로 하는 경우는 드물다. 외과적 수술은 장감돈이 되거나 1~2세경에도 계속 커질 때 시행하며, 테이프로 붙여 두는 것은 의미가 없다.[두산백과]
Onset,발현,상태
Onset,시작,상태
Oozing,진물,1) 액체가 부분 또는 조직으로 일탈(逸脫) 2) 염증이 생긴 국소에 혈관에서 액체 및 세포성분이 밖으로 나와 병소에 모이는 것을 삼출이라 하고 그때, 액체성분은 단백질의 함량이 크고 혈장에 가까운 액체성분이 그대로 나온다. 이와 같은 액체를 말한다. 여출액(爐出液)에 비해서 세포성분이 풍부하며 비중 1.018 이상으로서 단백함 유량 4% 이상, 또 피브리노겐을 함유하는 액(液)으로서 염증 반응의 결과로 생긴다. Rivaita반응양성, Runneberg반응 양성이 된다.[간호학대사전] 3) 염증이 생겼을 때 핏줄이나 미세한 구멍에서 조직이나 체강 속으로 스며 나오는 세포 성분과 액체 성분. 진물이나 고름 따위가 있다. 흉막염이 있을 때 흉막강속에 물이 고이는 것도 여기에 속한다.[알기쉬운 의학용어풀이집]
Open wound,개방성 상처,
Operating room,수술실,진료부서
Operation,수술,사건 또는 에피소드
Ophthalmodonesis,눈흔들림,안구의 빠른 불수의 운동으로서 수평, 수직, 회전 또는 2종 혼합형이 있다.
Opisthotonus,활모양강직,1) 머리와 발뒤꿈치는 뒤로 굴곡하고 구간(軀幹)은 앞으로구부러진경련의 1형. Opisthotonos 2) 경부(後頸部)의 근 및 배근, 상하지근의 근긴장 항진 또는 경련에 의해 경부를 강하게 배굴(背屈)시켜 전신이 후방궁형(後方弓形)으로 굽혀지는 상태를 말한다. 수막염, 파상풍(테타누수), 디프테리아에 의한 수막증(메닌기슴, meningism, 중뇌종양, 전간, 각종 원인에 의한 테타니등에서 나타나면, 또한 히스테리 hysteria의 중요한 징후이다.[간호학대사전]
Optic nerve,시(각)신경,시각을 맡는 지각신경. 시신경이 맥락막과 공막을 뚫고 안구의 바깥으로 나가는 부위를 시신경유두라 하는데, 망막의 신경섬유는 시신경유두를 향해 모여서 공막을 뚫고 안구의 뒤로 나와 안와 내부를 지나 시신경관을 지나서 두개강(頭蓋腔)안으로 들어감.
Oral hemorrhage,구강 출혈,통상 구강염, 잇몸 질환 혹은 혈소판 감소로 생기는 구강 내 조직에서의 출혈 현상임.
Oral mucous membranes impairment,구강점막손상,
Oral mucous membranes impairment deteriorated,구강점막손상 악화됨,
Oral mucous membranes impairment improved,구강점막손상 개선됨,
Oral mucous membranes impairment stabilized,구강점막손상 안정됨,
Oral cavity,입안,체강
Oral cavity,구강,체강
Oral hypoglycemic agent,경구혈당강하제,췌장을 자극하여 인슐린 분비를 촉진하고 인슐린이 세포에 잘 결합하도록 해주고 간에서 새로이 당이 생성되지 않도록 작용하여 혈당을 낮춰 주는 먹는 약제.
Orbit,눈확,안구 ·안구부속근(동안근) ·맥관 ·신경 ·누선(淚腺)의 부속기, 안구주위의 안와 지방체 등을 수용하는 안면두개의 함요부를 일컫는다. 안와는 사각뿔채를 가로로 한 형으로 그 밑면은 안와구에, 선단은 후단의 시신경관의 구멍에 해당된다. 중심축은 다소 후방내측을 향하는데, 안와는 상악골(上顎骨) ·사골(篩骨) ·전두골 ·협골(頰骨) ·누골(淚骨) ·구개골의 일부의 결합에 의하여 그 내벽을 형성.
Orbit,안와,안구 ·안구부속근(동안근) ·맥관 ·신경 ·누선(淚腺)의 부속기, 안구주위의 안와 지방체 등을 수용하는 안면두개의 함요부를 일컫는다. 안와는 사각뿔채를 가로로 한 형으로 그 밑면은 안와구에, 선단은 후단의 시신경관의 구멍에 해당된다. 중심축은 다소 후방내측을 향하는데, 안와는 상악골(上顎骨) ·사골(篩骨) ·전두골 ·협골(頰骨) ·누골(淚骨) ·구개골의 일부의 결합에 의하여 그 내벽을 형성.
Ordinal scale,순위척도,측정 대상에 대해 서열이나 순위관계를 나타내는 기준. 예를 들면 강, 중, 약, S, M, W 또는3, 2, 1로 코드 할 수 있다. 코드로서 숫자를 사용할 경우에는 대소관계에만 의미가 있어 거리척도와 달리 수치의 차이에는 의미가 없다.[생명과학대사전]
Organ,기관,다세포 생물에서 몇 개의 조직이 복합하여 일정한 형태를 가지고 특정한 작용을 하는 부분.[두산백과]
각각의 장기가 모여서 계(system)를 형성한다. 기관은 각기 독립적으로 작용하는 듯이 보이지만, 실상은 서로 다른 기관에 의해 끊임없이 상호 교류하고 있다. 그리고 이런 기관들은 어떤 목적을 위해 서로 같이 작용하는 경우가 많으며, 이런 기관들을 묶어서 계라고 임의적으로 구분한다.[알기쉬운 의학용어풀이집]
Organ,장기,다세포 생물에서 몇 개의 조직이 복합하여 일정한 형태를 가지고 특정한 작용을 하는 부분.[두산백과]
각각의 장기가 모여서 계(system)를 형성한다. 기관은 각기 독립적으로 작용하는 듯이 보이지만, 실상은 서로 다른 기관에 의해 끊임없이 상호 교류하고 있다. 그리고 이런 기관들은 어떤 목적을 위해 서로 같이 작용하는 경우가 많으며, 이런 기관들을 묶어서 계라고 임의적으로 구분한다.[알기쉬운 의학용어풀이집]
Organ donor,장기제공자,
Organism,생물,개체
Orientation,지남력,상태: 연도, 계절, 월, 일, 정확한 시간과 같은 시간적 측면; 나라, 지방, 도시, 직장, 집과 같은 장소적 측면 그리고 나이, 생일과 같은 자기 인식 측면과 주변 사람들 인지 측면에서 환경과의 관계를 확인하는 것.
Oronasal,입코-,신체 부분
Oropharynx,입인두,입의 뒷벽부위로 호흡경로와 소화경로가 만나는 곳.
Orthopnea,앉아숨쉬기,휴식시 호흡곤란: 앙와위나 복위에서의 짧은 호흡.
Orthopnea,좌위호흡,휴식시 호흡곤란: 앙와위나 복위에서의 짧은 호흡.
Orthopnea,기좌호흡,휴식시 호흡곤란: 앙와위나 복위에서의 짧은 호흡.
Orthosis,보조기,인체의 기능을 보조하거나 교정하는 장치[서울대학교병원 의학정보]
Orthostatic hypotension,기립성 저혈압,기립시 혈압조절기구에 장애가 있기 때문에 기립시에 혈압이 낮아지고 어지럽고 때로는 실신하게 되는 상태이다. 원인으로서는 약제(특히 자율신경계에 작용하는 강압제), 신경질환(척수손상, 그밖의 척수내지 자율신경을 침범하는 질환), 당뇨병성 신경증, 부신부전, 갈색세포종 등이 있다.[간호학대사전]
Otalgia,귀통증,귀에 일어나는 통증. 바깥귀성-가운데귀성-구인두 이관성의 것이 있다. 바깥귀성 통증의 주원인은 귀종기에 의한 것으로서, 귀의 입구가 빨갛게 부어서 몹시 아프고, 귓바퀴를 건드리면 통증이 한층 심해진다. 그러나 곪아터져서 고름이 나오면 통증이 한결 덜하게 된다. 가운데귀성의 통증을 일으키는 주된 병은 급성중이염으로서, 발열-귀울림-난청이 일어나고, 귀가 막힌 것 같은 느낌을 받는다. 고막이 천공되어 고름이 나오거나 천공되지 않아도 염증이 가시면 통증이 차차 없어진다. 귀인두관성의 동통은 저인두관염에 의한 것으로서 귀 속이 욱신거리면서 아프지만 고막이나 청력에는 이상이 없다.[알기쉬운 의학용어풀이집]
Otalgia,귀아픔,귀에 일어나는 통증. 바깥귀성-가운데귀성-구인두 이관성의 것이 있다. 바깥귀성 통증의 주원인은 귀종기에 의한 것으로서, 귀의 입구가 빨갛게 부어서 몹시 아프고, 귓바퀴를 건드리면 통증이 한층 심해진다. 그러나 곪아터져서 고름이 나오면 통증이 한결 덜하게 된다. 가운데귀성의 통증을 일으키는 주된 병은 급성중이염으로서, 발열-귀울림-난청이 일어나고, 귀가 막힌 것 같은 느낌을 받는다. 고막이 천공되어 고름이 나오거나 천공되지 않아도 염증이 가시면 통증이 차차 없어진다. 귀인두관성의 동통은 저인두관염에 의한 것으로서 귀 속이 욱신거리면서 아프지만 고막이나 청력에는 이상이 없다.[알기쉬운 의학용어풀이집]
Otorrhea,이루,귀에서의 배액, 특히 배농.
Otorrhea,귓물,귀에서의 배액, 특히 배농.
Out stitch,꿰맨실제거,1) 외상에 의한 피부의 열개(裂開), 수술에 의한 피부절개시, 열린 상처가 오염되어 있지 않으면 보통 봉합에 의해서 폐쇄된다. 봉합창은 1차적으로 치유되기 때문에 보통 1주간후에 봉합사를 뽑는다. 이를 발사라고 한다. 열린 상처를 오염시키지 않기 위해서 창외의 봉합사의 연결구를 잡아당기거나 창내로 매몰해있는 봉합사를 시야로 내어서 거기에서 실을 절단한다. 환자의 영양상태 또는 약제 투여에 의해서 창치유가 지연된다고 생각되는 경우에는 발사시기를 늦추기도 한다. 또한 부위별로 피부장력에 따라 발사시기를 가감하기도 한다.[간호학대사전]
Output,배설,체외로 배설되는 체액량을 측정하기 위해 수행되는 활동
Ovary,난소,여성생식기계
Overdose,과용량,자기 파괴적 행위: 치사량의 약물을 스스로 섭취하는 것, 약물중독, 습관성 약물복용과 관련됨.
Overflow incontinence,범람실금,요실금
Overhydration,과다수분공급,
Overload,과부하,1) 이동이나 진행에 적합하도록 설계한 체계 용량보다 큰 적재량이나 적하량.
2) (생리학에서) 본래의 한계를 넘어 인체에 스트레스를 주거나 건강을 해칠 수 있는 요인이나 영향.[Mosby 의학간호학대사전]
Overweight,과체중,체중 이상: 보통 적정 체중보다 10~20% 정도 체중과 체질량이 초과된 상태로, 과다한 영양소 섭취, 과식 및 운동부족과 관련 되며 주로 내부장기와 피하조직에서 지방 세포의 비율이 증가함.
Oviduct,난관,난소와 자궁을 연결하는 튜브 모양의 기관.
Oviduct,자궁관,난소와 자궁을 연결하는 튜브 모양의 기관.
Ovum,난자,여성의 생식세포로 여성의 생식기관인 난소에서 방출되는 단세포.
Oxygen,산소,적혈구내의 혈색소의 역할로 신체내 모든 조직세포에 전해지며, 인체대사작용에 필수적인 기체.
Oxygen therapy care,산소요법,산소치료의 주입을 지원하는 활동
Oxygen mask,산소마스크,호흡장치
Oxygen saturation,산소포화도,상태
Oxygen tent,산소텐트,호흡장치
Oxygen therapy,산소요법,요법
PEEP,날숨끝양압,기계적 환기를 받는 대상자의 기도를 양압 상태로 유지시켜주는 방식. 기계적인 인공호흡을 하는 동안 압력은 호기말에 대기압력수준이상을 유지하게 하여 기능적 폐잔존량(FRC)을 증가시킴으로써 산화도를 증진시켜, 기능적 폐잔존량이 증가됨으로써 호기말 양압호흡은 허탈된 폐포와 폐포 아랫부분을 확장시키고 이것은 산소확산을 위한 표면적과 노출시간을 증가시킴.
PROM,조기양막파열,임신주수에 상관없이 진통이 오기 전에 양막이 먼저 터지는 것. 
Pacemaker,박동 조율기,심장이식장치
Pacemaker care,심박조율기간호,
Pad,패드,부드러운 물질로 만든 쿠션과 같은 물건.
Pain,동통,손상된 지각: 신체에 느껴지는 불쾌한 감각이 증가하는 것, 고통, 얼굴을 찌푸림, 근육 긴장의 변화, 자기 보호적 행동, 주의집중감소, 시간에 대한 지각력 감소, 사회적 소외감, 사고 기능 부전, 산만한 행동, 안절부절, 및 식욕감퇴에 대한 주관적인 보고.
Pain,통증,신체적 고통 또는 괴로움; 아픔
Pain deteriorated,통증 악화됨,
Pain improved,통증 개선됨,
Pain stabilized,통증 안정됨,
Pain control,통증조절,
Palate,입천장,고유 구강의 윗 벽으로 비강과 구강의 경계. 앞부분은 단단하고 뒷부분은 연하기 때문에 각각 경구개, 연구개라고 함.
Palate,구개,고유 구강의 윗 벽으로 비강과 구강의 경계. 앞부분은 단단하고 뒷부분은 연하기 때문에 각각 경구개, 연구개라고 함.
Palatoschisis,구개열,선천적 기형의 하나이고 태생기에 양구개의 융합이 불완전하게 된 것. 그 정도에 따라서 완전구개열, 불완전구개열, 연구개열이 있고 점막의 파열이 없는 것을 점막하 구개열이라고 한다. 원인으로서는 유전이 가장 중요시되고 있는데 태생초기의 여러가지 인자가 관여하는 것으로 생각된다. 포유력부전으로 깨닫게 되는 경우가 많고 개비성(開鼻聲)과 함께 언어장애가 문제가 된다. 치아나 교합의 이상, 중이(中耳)의 감염을 가져오기 쉽다. 수술은 비강과 구강의 격벽을 만드는 것, 비인강(鼻咽腔) 폐쇄기능을 양호하게 해서 언어장애를 예방ㆍ개선할 목적으로 이루어진다. 수술뒤 언어훈련을 필요로 하는데 언어치료의 면에서 수술의 시기는 2세전후가 바람직하다.[간호학대사전]
Pale,창백,피부의 색이 파래지는 것.[알기쉬운 의학용어풀이집]
Palliative therapy,완화요법,요법
Pallor,창백,피부의 색이 파래지는 것.[알기쉬운 의학용어풀이집]
Burn and corrosion of palm,손바닥의 화상 및 부식,손의 안쪽. 곧 손금이 새겨진 쪽.
Palpation,촉진,환자의 아픈 부위 등을 눌러봐서 온도, 단단함, 통증 반응 등을 파악하는 것
Palpitation,심계항진,환자가 느낄 수 있는 과도한 심박동으로 규칙적일 수 있고 불규칙적일 수 있다.
Palpitation,두근거림,환자가 느낄 수 있는 과도한 심박동으로 규칙적일 수 있고 불규칙적일 수 있다.
Palsy,마비,손상된 근골격계 과정: 근육기능이나 감각의 손실, 배변과 배뇨 조절의 손실, 호흡곤란을 동반하는 신체나 그 일부를 움직이는 능력의 손실로 특징 지어지는 비정상적인 상태, 신체 기관의 부분적 결여. 상해, 신경근육계의 병변 또는 척수손상, 질병 또는 중독과 같은 외상과 관련됨.
Panic,공황,극도의 또는 불합리한 공포와 불안.
Panting,헐떡임,효증(哮症)이 발작할 때 늘 숨찬 증상이 나타나기 때문에 좁은 의미에서 효증(哮症)을 말하는 것임.[한국전통지식포탈 용어사전]
Papule,구진,1) 피부면에서 반구상, 원추상, 때로는 편평하게 융기하는 피진을 일컫는다. 색조는 대개의 경우 홍색을 띠는데, 황색조, 갈색조, 흑색조 그리고 정상피부색인 것도 있다. 육안적 관찰에서 구진의 내부에 장액을 넣은 것처럼 보이는 것을 장액성 구진이라하고 내용이 충실한 것을 충실성 구진이라고 한다.[간호학대사전] 2) 구진은 반점과 달리 피부가 솟아올라가 있는 것을 말하며 보통 경계는 명확하다. 크기는 직경 0.5~1cm 정도이다. 끝이 편평하거나 중심부가 함몰되어 배꼽 모양으로 나타나기도 하지만, 끝은 보통 뾰족하거나 둥글게 생겼다. 대부분은 피부의 표피 및 진피 상부층에 존재하고, 피지샘 주위나 땀샘 또는 털집의 입구에 생기기도 한다.[서울대학교병원 의학정보]
Paraffin bath,파라핀 욕,파라핀과 올리브오일을 7:1의 비율로 섞어 용기에서 녹인 것이다. 손 발 팔꿈치 부위를 치료하며, 관절염 통증 등의 치료에 이용된다.
Paralysis,마비,손상된 근골격계 과정: 근육기능이나 감각의 손실, 배변과 배뇨 조절의 손실, 호흡곤란을 동반하는 신체나 그 일부를 움직이는 능력의 손실로 특징 지어지는 비정상적인 상태, 신체 기관의 부분적 결여. 상해, 신경근육계의 병변 또는 척수손상, 질병 또는 중독과 같은 외상과 관련됨.
Paranasal sinus,부비동,두개골 내의 콧구멍과 통하며 점막으로 덮여진 공기로 채워진 공간. 호흡시 공기를 데워주는 기능 및 소리를 낼 때 공명을 시켜주는 기능을 가짐.
Paranasal sinus,코곁굴,두개골 내의 콧구멍과 통하며 점막으로 덮여진 공기로 채워진 공간. 호흡시 공기를 데워주는 기능 및 소리를 낼 때 공명을 시켜주는 기능을 가짐.
Parental role conflict,부모역할갈등,
Parental role conflict deteriorated,부모역할갈등 악화됨,
Parental role conflict improved,부모역할갈등 개선됨,
Parental role conflict stabilized,부모역할갈등 안정됨,
Parenteral feeding,비경구영양,
Parenting alteration,부모역할장애,
Parenting alteration deteriorated,부모역할장애 악화됨,
Parenting alteration improved,부모역할장애 개선됨,
Parenting alteration stabilized,부모역할장애 안정됨,
Paresis,부전마비,마비: 입, 인후, 눈꺼풀같은 신체 부분의 운동기능 손실(불완전 손실 또는 완전 손실)로 나타나는 부분 마비 또는 전신 마비
Paresis,불완전마비,마비: 입, 인후, 눈꺼풀같은 신체 부분의 운동기능 손실(불완전 손실 또는 완전 손실)로 나타나는 부분 마비 또는 전신 마비
Paresthesia,감각 이상,지각둔마(知覺鈍痲), 지각이탈 등의 타각적 지각저하 hypesthesia 이외의 이상한 지각을 말한다. paresthesia라고도 한다. 예를 들면 바늘로 한점을 찔러도 많은 바늘로 찔린 것과 같이 느끼거나, 붓으로 피부를 닿게 되어도 무엇인가로 잘린 것과 같이 느끼거나, 냉감(冷感)을 심한 통각(痛覺)으로 느끼거나 하는 종류의 것이다. 이에 대하여, 자각적인 이상지각을 디스에스테지아 dysesthesia라고 한다. 예를 들면 손이나 발의 뜨끔뜨끔한 느낌, 의주감(蟻走感) 등이 이에 해당한다. 파레스테지아와 디스에스테지아의 구별은, 그의 용법에 약간의 혼란이 있다.[간호학대사전]
Parity,임신분만력,생존할 수 있는 아이를 출산하는 것에 관계된 여자의 상태.
Parity,출산력,생존할 수 있는 아이를 출산하는 것에 관계된 여자의 상태.
Parity,출산수,생존할 수 있는 아이를 출산하는 것에 관계된 여자의 상태.
Parotid gland,이하선,입 안에 있는 세개의 침샘 가운데 가장 큰 침샘.
Parotid gland,귀 밑샘,입 안에 있는 세개의 침샘 가운데 가장 큰 침샘.
Paroxysmal supraventricular tachycardia,발작성 심실위 빠른맥,심장의 정상 전기전달조직 이외에 심방과 심실사이에 선천적으로 우회로 (bypass tract) 가 남아 이것이 정상 전기전달조직과 함께 회귀성회로를 (reentry circuit) 형성하여 심장의 전기가 이 회로를 따라 끊임없이 도는 경우 분당 약 180 ~220회의 심장박동이 (빈맥) 일어나는 질환.
Partial,부분-,범위
Partial,일부-,범위
Partial seizure,부분 발작,피질발작, 부분발작이라고도 한다. 대뇌피질이 있는 부위의 병소(초점)로 인해 부분적 발작증상이 생기는 것. 시간은 짧고, 회복도 빠른데 2차적으로 전환해서 대발작(전신경련)이 되는 수도 있다. 초점이 전중심회(운동령)부근에 있으면 운동성 초점발작(얼굴, 손 등의 부분적 경련), 후중심회(지각령) 부근에 있으면 지각성 초점발작(작열감, 마비강, 통증, 이상지각)이 생긴다. 지각성, 청각성, 비각성의 감각성 초점발작도 있다.[간호학대사전]
Parturient,분만중-,주산기
Passive exercise,피동운동,운동요법의 일종으로 근(筋)의 자동수축을 수반하는 자동운동 active exercise에 대한 말. 경축의 예방 및 구축치료의 목적으로 물리요법사(物理療法士) 등 개조자(介助者)에 의하여 수동적으로 이루어져 근의 자동수축을 수반하지 않는다. 구체적으로는 사지마비, 편마비(偏痲痺), 편마비환자의 불량사지위구축(不良四肢位拘縮)의 예방, 외상후의 관절구축제거시 등에 행하여진다.[간호학대사전]
Patch,첩포,특정 성분을 담은 부착제. 해당 성분을 몸속에 서서히 침투시키기 위하여 필요한 부위에 붙여서 사용한다.[표준국어대사전]
Patch,부착포,특정 성분을 담은 부착제. 해당 성분을 몸속에 서서히 침투시키기 위하여 필요한 부위에 붙여서 사용한다.[표준국어대사전]
Patella,무릎뼈,직경 약 5cm의 삼각형 종자뼈로서 넙다리네갈래근의 부착힘줄 속에 있다. 무릎힘줄로 둘러싸여 있으며, 무릎관절을 보호하는 역할을 한다.[알기쉬운 의학용어풀이집]
Patella,슬개골,직경 약 5cm의 삼각형 종자뼈로서 넙다리네갈래근의 부착힘줄 속에 있다. 무릎힘줄로 둘러싸여 있으며, 무릎관절을 보호하는 역할을 한다.[알기쉬운 의학용어풀이집]
Patellar reflex,무릎반사,걸터 앉아 하퇴를 늘어뜨린 상태 또는 반듯이 누은 자세에서 슬관절을 구부려 세운 상태에서 슬개밑의 건을 가법게 두드리면 대퇴사두근이 수축해 발이 전방으로 튀어오르는 반사. 두드림으로써 대건사두근 속의 근방추(筋紡錘)가 늘어나 이 수용기로부터의 자극이 구심신경을 거쳐 척수(제2~4용수)로 전해지고 대퇴사두근의 운동뉴론이 흉분하는 결과 발생하는 신전반사이다. 반사궁에 포함되는 뉴론은 2개의 단시냅스반사이다. 건강인에게 보통 발생하고 이것이 저하 또는 소실하는 것은 신경이나 척수 염증등의 경우이고 항진 하는 것은 상위에서 이 반사에 대한 억제가 감퇴했을 때이다.[간호학대사전]
